# x1,x2,loss
-1.000000000000000000e+00,-1.000000000000000000e+00,2.617234802246093750e+01
-8.000000119209289551e-01,-1.000000000000000000e+00,2.225302505493164062e+01
-6.000000238418579102e-01,-1.000000000000000000e+00,1.866365623474121094e+01
-4.000000059604644775e-01,-1.000000000000000000e+00,1.540425109863281250e+01
-2.000000029802322388e-01,-1.000000000000000000e+00,1.247480773925781250e+01
0.000000000000000000e+00,-1.000000000000000000e+00,9.875325202941894531e+00
2.000000029802322388e-01,-1.000000000000000000e+00,7.605803489685058594e+00
4.000000059604644775e-01,-1.000000000000000000e+00,5.666243076324462891e+00
6.000000238418579102e-01,-1.000000000000000000e+00,4.056643486022949219e+00
8.000000119209289551e-01,-1.000000000000000000e+00,2.777005434036254883e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.827328443527221680e+00
-1.000000000000000000e+00,-8.000000119209289551e-01,2.200418090820312500e+01
-8.000000119209289551e-01,-8.000000119209289551e-01,1.841532707214355469e+01
-6.000000238418579102e-01,-8.000000119209289551e-01,1.515643596649169922e+01
-4.000000059604644775e-01,-8.000000119209289551e-01,1.222750663757324219e+01
-2.000000029802322388e-01,-8.000000119209289551e-01,9.628538131713867188e+00
0.000000000000000000e+00,-8.000000119209289551e-01,7.359529972076416016e+00
2.000000029802322388e-01,-8.000000119209289551e-01,5.420483112335205078e+00
4.000000059604644775e-01,-8.000000119209289551e-01,3.811397552490234375e+00
6.000000238418579102e-01,-8.000000119209289551e-01,2.532273292541503906e+00
8.000000119209289551e-01,-8.000000119209289551e-01,1.583110094070434570e+00
1.000000000000000000e+00,-8.000000119209289551e-01,9.639080762863159180e-01
-1.000000000000000000e+00,-6.000000238418579102e-01,1.820658302307128906e+01
-8.000000119209289551e-01,-6.000000238418579102e-01,1.494820594787597656e+01
-6.000000238418579102e-01,-6.000000238418579102e-01,1.201978874206542969e+01
-4.000000059604644775e-01,-6.000000238418579102e-01,9.421335220336914062e+00
-2.000000029802322388e-01,-6.000000238418579102e-01,7.152841091156005859e+00
